Prefix,Archivo,Resumen
C0844d,C0844d_N1_mask.bmp,"N1 (0 regs): A=[] C=[]"
C0844d,C0844d_N2_mask.bmp,"N2 (0 regs): A=[] C=[]"
C0844d,C0844d_N3_mask.bmp,"N3 (0 regs): A=[] C=[]"
C0844d,C0844d_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0844d,C0844d_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0844d,C0844d_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0844d,C0844d_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0844i,C0844i_N1_mask.bmp,"N1 (4 regs): A=[2898   766   105    84] C=[0.97 0.27 1.01 1.09]"
C0844i,C0844i_N2_mask.bmp,"N2 (3 regs): A=[2128    75    67] C=[1.00 0.89 1.18]"
C0844i,C0844i_N3_mask.bmp,"N3 (2 regs): A=[1155    28] C=[1.02 1.37]"
C0844i,C0844i_N4_mask.bmp,"N4 (0 regs): A=[] C=[]"
C0844i,C0844i_N5_mask.bmp,"N5 (0 regs): A=[] C=[]"
C0844i,C0844i_N6_mask.bmp,"N6 (0 regs): A=[] C=[]"
C0844i,C0844i_N7_mask.bmp,"N7 (0 regs): A=[] C=[]"
C0845d,C0845d_N1_mask.bmp,"N1 (13 regs): A=[4061  3511  1303  1241  1240   757   674   552   375   172    21    17    13] C=[0.27 0.40 0.36 0.47 0.96 0.41 0.76 0.78 0.96 1.04 1.29 1.28 1.54]"
C0845d,C0845d_N2_mask.bmp,"N2 (11 regs): A=[3310  3171   878   772   681   610   386   167   104    63    12] C=[0.31 0.47 0.50 1.04 0.55 0.38 0.95 0.73 1.12 1.22 1.62]"
C0845d,C0845d_N3_mask.bmp,"N3 (6 regs): A=[3438  2886   612   391   208    22] C=[0.24 0.61 0.60 0.53 1.10 1.05]"
C0845d,C0845d_N4_mask.bmp,"N4 (5 regs): A=[2511  1608   506   292   105] C=[0.37 0.49 0.67 0.63 1.10]"
C0845d,C0845d_N5_mask.bmp,"N5 (5 regs): A=[2304   604   364   275    95] C=[0.71 0.84 0.68 0.85 1.08]"
C0845d,C0845d_N6_mask.bmp,"N6 (3 regs): A=[2086  1634   105] C=[0.74 0.29 0.57]"
C0845d,C0845d_N7_mask.bmp,"N7 (10 regs): A=[1022   702   615   240   136    94    81    66    24    22] C=[0.44 0.58 0.63 0.88 0.60 0.59 1.07 0.94 1.25 1.50]"
C0845i,C0845i_N1_mask.bmp,"N1 (10 regs): A=[4033  3064  1795  1257   981   627   520   465   428   201] C=[0.44 0.57 0.28 0.99 0.48 0.56 0.78 0.61 0.75 1.06]"
C0845i,C0845i_N2_mask.bmp,"N2 (10 regs): A=[3631  2559   945   805   616   504   242   144   112    15] C=[0.60 0.48 0.46 1.04 0.69 0.51 0.81 1.05 0.85 1.27]"
C0845i,C0845i_N3_mask.bmp,"N3 (5 regs): A=[4135  1811   709   320    24] C=[0.33 0.93 0.47 0.74 0.59]"
C0845i,C0845i_N4_mask.bmp,"N4 (7 regs): A=[2469  1091   292   153   104    77    47] C=[0.25 0.70 0.96 1.05 1.01 0.50 0.24]"
C0845i,C0845i_N5_mask.bmp,"N5 (4 regs): A=[1256   279   181   152] C=[0.53 0.73 0.62 0.69]"
C0845i,C0845i_N6_mask.bmp,"N6 (5 regs): A=[1545  1447   353   273    31] C=[0.34 0.92 0.39 0.54 0.70]"
C0845i,C0845i_N7_mask.bmp,"N7 (3 regs): A=[2152  1810  1022] C=[0.39 0.24 0.84]"
