Details for patient C0844d, combinations ordered by fitness (best to worst):

1. Fitness: 0.000000, Average: 0.779143, Chromosome: [1, 1, 1, 0, 0, 0, 0]
2. Fitness: 0.000000, Average: 0.777723, Chromosome: [1, 1, 1, 1, 0, 0, 0]
3. Fitness: 0.000000, Average: 0.777331, Chromosome: [1, 0, 1, 0, 0, 0, 0]
4. Fitness: 0.000000, Average: 0.775478, Chromosome: [1, 0, 1, 1, 0, 0, 0]
5. Fitness: 0.000000, Average: 0.774516, Chromosome: [1, 1, 0, 1, 0, 0, 0]
6. Fitness: 0.000000, Average: 0.774044, Chromosome: [1, 1, 0, 0, 0, 0, 0]
7. Fitness: 0.000000, Average: 0.770634, Chromosome: [1, 1, 1, 1, 1, 0, 0]
8. Fitness: 0.000000, Average: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
9. Fitness: 0.000000, Average: 0.770443, Chromosome: [1, 0, 0, 1, 0, 0, 0]
10. Fitness: 0.000000, Average: 0.769854, Chromosome: [1, 1, 1, 0, 1, 0, 0]
11. Fitness: 0.000000, Average: 0.769838, Chromosome: [1, 0, 0, 0, 0, 0, 0]
12. Fitness: 0.000000, Average: 0.769799, Chromosome: [1, 1, 1, 0, 0, 1, 0]
13. Fitness: 0.000000, Average: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
14. Fitness: 0.000000, Average: 0.768119, Chromosome: [1, 0, 1, 1, 1, 0, 0]
15. Fitness: 0.000000, Average: 0.767986, Chromosome: [1, 1, 1, 0, 0, 0, 1]
16. Fitness: 0.000000, Average: 0.767971, Chromosome: [1, 0, 1, 0, 0, 1, 0]
17. Fitness: 0.000000, Average: 0.767612, Chromosome: [1, 1, 0, 1, 1, 0, 0]
18. Fitness: 0.000000, Average: 0.767586, Chromosome: [1, 1, 0, 1, 0, 1, 0]
19. Fitness: 0.000000, Average: 0.767563, Chromosome: [1, 0, 1, 0, 1, 0, 0]
20. Fitness: 0.000000, Average: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
21. Fitness: 0.000000, Average: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
22. Fitness: 0.000000, Average: 0.766193, Chromosome: [1, 0, 1, 0, 0, 0, 1]
23. Fitness: 0.000000, Average: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
24. Fitness: 0.000000, Average: 0.765552, Chromosome: [1, 1, 0, 0, 1, 0, 0]
25. Fitness: 0.000000, Average: 0.765298, Chromosome: [1, 1, 0, 0, 0, 1, 0]
26. Fitness: 0.000000, Average: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
27. Fitness: 0.000000, Average: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
28. Fitness: 0.000000, Average: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
29. Fitness: 0.000000, Average: 0.763799, Chromosome: [1, 1, 0, 1, 1, 1, 0]
30. Fitness: 0.000000, Average: 0.763784, Chromosome: [1, 0, 0, 1, 0, 1, 0]
31. Fitness: 0.000000, Average: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
32. Fitness: 0.000000, Average: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
33. Fitness: 0.000000, Average: 0.763467, Chromosome: [1, 0, 0, 1, 1, 0, 0]
34. Fitness: 0.000000, Average: 0.763378, Chromosome: [1, 1, 0, 0, 0, 0, 1]
35. Fitness: 0.000000, Average: 0.762467, Chromosome: [1, 1, 1, 0, 0, 1, 1]
36. Fitness: 0.000000, Average: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
37. Fitness: 0.000000, Average: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
38. Fitness: 0.000000, Average: 0.761675, Chromosome: [1, 0, 0, 0, 0, 1, 0]
39. Fitness: 0.000000, Average: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
40. Fitness: 0.000000, Average: 0.761240, Chromosome: [1, 0, 0, 0, 1, 0, 0]
41. Fitness: 0.000000, Average: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
42. Fitness: 0.000000, Average: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
43. Fitness: 0.000000, Average: 0.760635, Chromosome: [1, 0, 1, 0, 0, 1, 1]
44. Fitness: 0.000000, Average: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
45. Fitness: 0.000000, Average: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
46. Fitness: 0.000000, Average: 0.759745, Chromosome: [1, 0, 0, 1, 1, 1, 0]
47. Fitness: 0.000000, Average: 0.759609, Chromosome: [1, 0, 0, 0, 0, 0, 1]
48. Fitness: 0.000000, Average: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
49. Fitness: 0.000000, Average: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
50. Fitness: 0.000000, Average: 0.759290, Chromosome: [0, 1, 1, 0, 0, 0, 0]
51. Fitness: 0.000000, Average: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
52. Fitness: 0.000000, Average: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
53. Fitness: 0.000000, Average: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
54. Fitness: 0.000000, Average: 0.757977, Chromosome: [1, 1, 0, 0, 0, 1, 1]
55. Fitness: 0.000000, Average: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
56. Fitness: 0.000000, Average: 0.757557, Chromosome: [1, 0, 0, 0, 1, 1, 0]
57. Fitness: 0.000000, Average: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
58. Fitness: 0.000000, Average: 0.756969, Chromosome: [1, 0, 0, 1, 0, 1, 1]
