Summary of all 127 combinations ordered by average fitness (best to worst):

1. Average Fitness: 0.729871, Chromosome: [1, 1, 1, 1, 1, 0, 1]
2. Average Fitness: 0.729732, Chromosome: [1, 1, 1, 1, 0, 0, 1]
3. Average Fitness: 0.729124, Chromosome: [1, 1, 1, 0, 1, 0, 1]
4. Average Fitness: 0.728850, Chromosome: [1, 1, 1, 0, 0, 0, 1]
5. Average Fitness: 0.728504, Chromosome: [1, 0, 1, 1, 1, 0, 1]
6. Average Fitness: 0.728461, Chromosome: [1, 0, 1, 0, 1, 0, 1]
7. Average Fitness: 0.728293, Chromosome: [1, 0, 1, 1, 0, 0, 1]
8. Average Fitness: 0.728142, Chromosome: [1, 0, 1, 0, 0, 0, 1]
9. Average Fitness: 0.727846, Chromosome: [1, 1, 1, 1, 1, 0, 0]
10. Average Fitness: 0.727435, Chromosome: [1, 1, 1, 0, 1, 0, 0]
11. Average Fitness: 0.727321, Chromosome: [1, 1, 1, 1, 0, 0, 0]
12. Average Fitness: 0.727229, Chromosome: [1, 1, 0, 1, 1, 0, 1]
13. Average Fitness: 0.726908, Chromosome: [1, 1, 0, 1, 0, 0, 1]
14. Average Fitness: 0.726672, Chromosome: [1, 0, 1, 0, 1, 0, 0]
15. Average Fitness: 0.726615, Chromosome: [1, 1, 1, 1, 1, 1, 1]
16. Average Fitness: 0.726265, Chromosome: [1, 0, 1, 1, 1, 0, 0]
17. Average Fitness: 0.726110, Chromosome: [1, 1, 1, 0, 0, 0, 0]
18. Average Fitness: 0.725635, Chromosome: [1, 0, 1, 1, 0, 0, 0]
19. Average Fitness: 0.725614, Chromosome: [1, 1, 1, 1, 1, 1, 0]
20. Average Fitness: 0.725479, Chromosome: [1, 1, 1, 0, 1, 1, 1]
21. Average Fitness: 0.725325, Chromosome: [1, 0, 1, 1, 1, 1, 1]
22. Average Fitness: 0.725311, Chromosome: [1, 1, 0, 0, 1, 0, 1]
23. Average Fitness: 0.725268, Chromosome: [1, 0, 1, 0, 0, 0, 0]
24. Average Fitness: 0.725196, Chromosome: [1, 1, 1, 1, 0, 1, 1]
25. Average Fitness: 0.725042, Chromosome: [1, 1, 0, 1, 1, 0, 0]
26. Average Fitness: 0.724998, Chromosome: [1, 1, 1, 0, 0, 1, 1]
27. Average Fitness: 0.724877, Chromosome: [1, 1, 1, 0, 1, 1, 0]
28. Average Fitness: 0.724823, Chromosome: [1, 0, 1, 0, 1, 1, 1]
29. Average Fitness: 0.724639, Chromosome: [1, 1, 1, 0, 0, 1, 0]
30. Average Fitness: 0.724414, Chromosome: [1, 0, 0, 1, 1, 0, 1]
31. Average Fitness: 0.724315, Chromosome: [1, 0, 1, 0, 0, 1, 1]
32. Average Fitness: 0.724275, Chromosome: [1, 1, 1, 1, 0, 1, 0]
33. Average Fitness: 0.724168, Chromosome: [1, 0, 1, 1, 1, 1, 0]
34. Average Fitness: 0.724159, Chromosome: [1, 1, 0, 1, 0, 0, 0]
35. Average Fitness: 0.724142, Chromosome: [1, 0, 1, 0, 1, 1, 0]
36. Average Fitness: 0.723997, Chromosome: [1, 1, 0, 1, 1, 1, 1]
37. Average Fitness: 0.723941, Chromosome: [1, 0, 0, 1, 0, 0, 1]
38. Average Fitness: 0.723885, Chromosome: [1, 0, 1, 1, 0, 1, 1]
39. Average Fitness: 0.723871, Chromosome: [1, 0, 1, 0, 0, 1, 0]
40. Average Fitness: 0.723442, Chromosome: [1, 1, 0, 0, 1, 0, 0]
41. Average Fitness: 0.722944, Chromosome: [1, 1, 0, 1, 1, 1, 0]
42. Average Fitness: 0.722802, Chromosome: [1, 0, 1, 1, 0, 1, 0]
43. Average Fitness: 0.722668, Chromosome: [1, 1, 0, 0, 0, 0, 1]
44. Average Fitness: 0.722614, Chromosome: [1, 0, 0, 0, 1, 0, 1]
45. Average Fitness: 0.722452, Chromosome: [1, 1, 0, 1, 0, 1, 1]
46. Average Fitness: 0.721836, Chromosome: [1, 0, 0, 1, 1, 0, 0]
47. Average Fitness: 0.721646, Chromosome: [1, 1, 0, 0, 1, 1, 1]
48. Average Fitness: 0.721471, Chromosome: [1, 1, 0, 1, 0, 1, 0]
49. Average Fitness: 0.721290, Chromosome: [1, 0, 0, 1, 1, 1, 1]
50. Average Fitness: 0.721117, Chromosome: [1, 1, 0, 0, 1, 1, 0]
51. Average Fitness: 0.720602, Chromosome: [1, 0, 0, 1, 0, 0, 0]
52. Average Fitness: 0.720266, Chromosome: [1, 0, 0, 0, 1, 0, 0]
53. Average Fitness: 0.720134, Chromosome: [1, 1, 0, 0, 0, 1, 1]
54. Average Fitness: 0.719970, Chromosome: [1, 0, 0, 1, 1, 1, 0]
55. Average Fitness: 0.719766, Chromosome: [1, 1, 0, 0, 0, 1, 0]
56. Average Fitness: 0.719687, Chromosome: [1, 0, 0, 1, 0, 1, 1]
57. Average Fitness: 0.719478, Chromosome: [1, 0, 0, 0, 0, 0, 1]
58. Average Fitness: 0.719011, Chromosome: [1, 0, 0, 0, 1, 1, 1]
59. Average Fitness: 0.718433, Chromosome: [1, 0, 0, 1, 0, 1, 0]
60. Average Fitness: 0.718243, Chromosome: [1, 0, 0, 0, 1, 1, 0]
61. Average Fitness: 0.717875, Chromosome: [1, 1, 0, 0, 0, 0, 0]
62. Average Fitness: 0.717290, Chromosome: [0, 1, 1, 0, 0, 0, 0]
63. Average Fitness: 0.717289, Chromosome: [1, 0, 0, 0, 0, 1, 1]
64. Average Fitness: 0.716669, Chromosome: [1, 0, 0, 0, 0, 1, 0]
65. Average Fitness: 0.713658, Chromosome: [1, 0, 0, 0, 0, 0, 0]
66. Average Fitness: 0.712883, Chromosome: [0, 1, 1, 1, 0, 0, 0]
67. Average Fitness: 0.711378, Chromosome: [0, 1, 1, 1, 0, 0, 1]
68. Average Fitness: 0.711132, Chromosome: [0, 1, 1, 1, 1, 0, 1]
69. Average Fitness: 0.709755, Chromosome: [0, 1, 1, 0, 0, 0, 1]
70. Average Fitness: 0.709044, Chromosome: [0, 1, 1, 0, 1, 0, 1]
71. Average Fitness: 0.708115, Chromosome: [0, 1, 1, 1, 1, 0, 0]
72. Average Fitness: 0.707922, Chromosome: [0, 1, 0, 1, 0, 0, 0]
73. Average Fitness: 0.707883, Chromosome: [0, 1, 1, 1, 1, 1, 1]
74. Average Fitness: 0.707617, Chromosome: [0, 1, 1, 0, 1, 0, 0]
75. Average Fitness: 0.707238, Chromosome: [0, 1, 0, 1, 1, 0, 1]
76. Average Fitness: 0.707165, Chromosome: [0, 1, 0, 0, 0, 0, 0]
77. Average Fitness: 0.707047, Chromosome: [0, 1, 0, 1, 0, 0, 1]
78. Average Fitness: 0.705517, Chromosome: [0, 1, 1, 1, 0, 1, 1]
79. Average Fitness: 0.705307, Chromosome: [0, 1, 1, 1, 1, 1, 0]
80. Average Fitness: 0.705069, Chromosome: [0, 1, 1, 0, 1, 1, 1]
81. Average Fitness: 0.704075, Chromosome: [0, 1, 0, 1, 1, 1, 1]
82. Average Fitness: 0.703811, Chromosome: [0, 1, 0, 1, 1, 0, 0]
83. Average Fitness: 0.703615, Chromosome: [0, 1, 1, 0, 0, 1, 1]
84. Average Fitness: 0.703427, Chromosome: [0, 1, 1, 0, 1, 1, 0]
85. Average Fitness: 0.703065, Chromosome: [0, 1, 1, 1, 0, 1, 0]
86. Average Fitness: 0.702629, Chromosome: [0, 1, 1, 0, 0, 1, 0]
87. Average Fitness: 0.702577, Chromosome: [0, 1, 0, 0, 1, 0, 1]
88. Average Fitness: 0.701468, Chromosome: [0, 1, 0, 1, 0, 1, 1]
89. Average Fitness: 0.701274, Chromosome: [0, 1, 0, 0, 1, 0, 0]
90. Average Fitness: 0.701246, Chromosome: [0, 1, 0, 1, 1, 1, 0]
91. Average Fitness: 0.699658, Chromosome: [0, 1, 0, 0, 0, 0, 1]
92. Average Fitness: 0.698727, Chromosome: [0, 1, 0, 1, 0, 1, 0]
93. Average Fitness: 0.698682, Chromosome: [0, 1, 0, 0, 1, 1, 1]
94. Average Fitness: 0.697250, Chromosome: [0, 1, 0, 0, 1, 1, 0]
95. Average Fitness: 0.695781, Chromosome: [0, 1, 0, 0, 0, 1, 1]
96. Average Fitness: 0.694899, Chromosome: [0, 1, 0, 0, 0, 1, 0]
97. Average Fitness: 0.683189, Chromosome: [0, 0, 1, 1, 1, 0, 1]
98. Average Fitness: 0.682130, Chromosome: [0, 0, 1, 1, 1, 1, 1]
99. Average Fitness: 0.681801, Chromosome: [0, 0, 1, 1, 0, 0, 1]
100. Average Fitness: 0.680969, Chromosome: [0, 0, 1, 1, 0, 0, 0]
101. Average Fitness: 0.678761, Chromosome: [0, 0, 1, 1, 0, 1, 1]
102. Average Fitness: 0.677499, Chromosome: [0, 0, 1, 0, 0, 0, 0]
103. Average Fitness: 0.676522, Chromosome: [0, 0, 1, 1, 1, 0, 0]
104. Average Fitness: 0.676382, Chromosome: [0, 0, 1, 1, 1, 1, 0]
105. Average Fitness: 0.675751, Chromosome: [0, 0, 1, 0, 1, 0, 1]
106. Average Fitness: 0.674645, Chromosome: [0, 0, 1, 0, 1, 1, 1]
