Summary of all 127 combinations ordered by average fitness (best to worst) over 35 patients:

Training Patients: ['C0692d', 'C0685i', 'C0676i', 'C0024i', 'C0013d', 'C0808i', 'C0692i', 'C0015i', 'C0703d', 'C0674d', 'C0705d', 'C0683i', 'C0030d', 'C0012i', 'C0804i', 'C0804d', 'C0024d', 'C0687d', 'C0753i', 'C0011d', 'C0807i', 'C0676d', 'C0747i', 'C0845d', 'C0806i', 'C0703i', 'C0699i', 'C0683d', 'C0685d', 'C0807d', 'C0844d', 'C0793d', 'C0747d', 'C0808d', 'C0030i']
Validation Patients: ['C0845i', 'C0844i', 'C0012d', 'C0699d', 'C0793i', 'C0013i', 'C0753d', 'C0014d', 'C0015d', 'C0623d', 'C0623i', 'C0674i', 'C0011i', 'C0014i', 'C0806d']

1. Average Fitness: 0.779143, Chromosome: [1, 1, 1, 0, 0, 0, 0]
2. Average Fitness: 0.777723, Chromosome: [1, 1, 1, 1, 0, 0, 0]
3. Average Fitness: 0.777331, Chromosome: [1, 0, 1, 0, 0, 0, 0]
4. Average Fitness: 0.775478, Chromosome: [1, 0, 1, 1, 0, 0, 0]
5. Average Fitness: 0.774516, Chromosome: [1, 1, 0, 1, 0, 0, 0]
6. Average Fitness: 0.774044, Chromosome: [1, 1, 0, 0, 0, 0, 0]
7. Average Fitness: 0.770634, Chromosome: [1, 1, 1, 1, 1, 0, 0]
8. Average Fitness: 0.770489, Chromosome: [1, 1, 1, 1, 0, 1, 0]
9. Average Fitness: 0.770443, Chromosome: [1, 0, 0, 1, 0, 0, 0]
10. Average Fitness: 0.769854, Chromosome: [1, 1, 1, 0, 1, 0, 0]
11. Average Fitness: 0.769838, Chromosome: [1, 0, 0, 0, 0, 0, 0]
12. Average Fitness: 0.769799, Chromosome: [1, 1, 1, 0, 0, 1, 0]
13. Average Fitness: 0.768346, Chromosome: [1, 0, 1, 1, 0, 1, 0]
14. Average Fitness: 0.768119, Chromosome: [1, 0, 1, 1, 1, 0, 0]
15. Average Fitness: 0.767986, Chromosome: [1, 1, 1, 0, 0, 0, 1]
16. Average Fitness: 0.767971, Chromosome: [1, 0, 1, 0, 0, 1, 0]
17. Average Fitness: 0.767612, Chromosome: [1, 1, 0, 1, 1, 0, 0]
18. Average Fitness: 0.767586, Chromosome: [1, 1, 0, 1, 0, 1, 0]
19. Average Fitness: 0.767563, Chromosome: [1, 0, 1, 0, 1, 0, 0]
20. Average Fitness: 0.767422, Chromosome: [1, 1, 1, 1, 0, 0, 1]
21. Average Fitness: 0.766681, Chromosome: [1, 1, 1, 1, 1, 1, 0]
22. Average Fitness: 0.766193, Chromosome: [1, 0, 1, 0, 0, 0, 1]
23. Average Fitness: 0.765764, Chromosome: [1, 1, 1, 0, 1, 1, 0]
24. Average Fitness: 0.765552, Chromosome: [1, 1, 0, 0, 1, 0, 0]
25. Average Fitness: 0.765298, Chromosome: [1, 1, 0, 0, 0, 1, 0]
26. Average Fitness: 0.765244, Chromosome: [1, 0, 1, 1, 0, 0, 1]
27. Average Fitness: 0.764405, Chromosome: [1, 1, 0, 1, 0, 0, 1]
28. Average Fitness: 0.764200, Chromosome: [1, 0, 1, 1, 1, 1, 0]
29. Average Fitness: 0.763799, Chromosome: [1, 1, 0, 1, 1, 1, 0]
30. Average Fitness: 0.763784, Chromosome: [1, 0, 0, 1, 0, 1, 0]
31. Average Fitness: 0.763615, Chromosome: [1, 1, 1, 1, 0, 1, 1]
32. Average Fitness: 0.763472, Chromosome: [1, 0, 1, 0, 1, 1, 0]
33. Average Fitness: 0.763467, Chromosome: [1, 0, 0, 1, 1, 0, 0]
34. Average Fitness: 0.763378, Chromosome: [1, 1, 0, 0, 0, 0, 1]
35. Average Fitness: 0.762467, Chromosome: [1, 1, 1, 0, 0, 1, 1]
36. Average Fitness: 0.761857, Chromosome: [1, 1, 1, 1, 1, 0, 1]
37. Average Fitness: 0.761716, Chromosome: [1, 1, 0, 0, 1, 1, 0]
38. Average Fitness: 0.761675, Chromosome: [1, 0, 0, 0, 0, 1, 0]
39. Average Fitness: 0.761503, Chromosome: [1, 0, 1, 1, 0, 1, 1]
40. Average Fitness: 0.761240, Chromosome: [1, 0, 0, 0, 1, 0, 0]
41. Average Fitness: 0.760787, Chromosome: [1, 1, 1, 0, 1, 0, 1]
42. Average Fitness: 0.760748, Chromosome: [1, 1, 0, 1, 0, 1, 1]
43. Average Fitness: 0.760635, Chromosome: [1, 0, 1, 0, 0, 1, 1]
44. Average Fitness: 0.760552, Chromosome: [1, 1, 1, 1, 1, 1, 1]
45. Average Fitness: 0.760473, Chromosome: [1, 0, 0, 1, 0, 0, 1]
46. Average Fitness: 0.759745, Chromosome: [1, 0, 0, 1, 1, 1, 0]
47. Average Fitness: 0.759609, Chromosome: [1, 0, 0, 0, 0, 0, 1]
48. Average Fitness: 0.759398, Chromosome: [1, 0, 1, 1, 1, 0, 1]
49. Average Fitness: 0.759364, Chromosome: [1, 1, 1, 0, 1, 1, 1]
50. Average Fitness: 0.759290, Chromosome: [0, 1, 1, 0, 0, 0, 0]
51. Average Fitness: 0.758908, Chromosome: [1, 1, 0, 1, 1, 0, 1]
52. Average Fitness: 0.758502, Chromosome: [1, 0, 1, 0, 1, 0, 1]
53. Average Fitness: 0.758101, Chromosome: [1, 0, 1, 1, 1, 1, 1]
54. Average Fitness: 0.757977, Chromosome: [1, 1, 0, 0, 0, 1, 1]
55. Average Fitness: 0.757685, Chromosome: [1, 1, 0, 1, 1, 1, 1]
56. Average Fitness: 0.757557, Chromosome: [1, 0, 0, 0, 1, 1, 0]
57. Average Fitness: 0.757071, Chromosome: [1, 0, 1, 0, 1, 1, 1]
58. Average Fitness: 0.756969, Chromosome: [1, 0, 0, 1, 0, 1, 1]
59. Average Fitness: 0.756695, Chromosome: [1, 1, 0, 0, 1, 0, 1]
60. Average Fitness: 0.755358, Chromosome: [1, 1, 0, 0, 1, 1, 1]
61. Average Fitness: 0.754859, Chromosome: [1, 0, 0, 1, 1, 0, 1]
62. Average Fitness: 0.754336, Chromosome: [1, 0, 0, 0, 0, 1, 1]
63. Average Fitness: 0.753687, Chromosome: [1, 0, 0, 1, 1, 1, 1]
64. Average Fitness: 0.752936, Chromosome: [0, 1, 1, 1, 0, 0, 0]
65. Average Fitness: 0.752535, Chromosome: [1, 0, 0, 0, 1, 0, 1]
66. Average Fitness: 0.751920, Chromosome: [0, 1, 0, 0, 0, 0, 0]
67. Average Fitness: 0.751242, Chromosome: [1, 0, 0, 0, 1, 1, 1]
68. Average Fitness: 0.746535, Chromosome: [0, 1, 0, 1, 0, 0, 0]
69. Average Fitness: 0.738926, Chromosome: [0, 1, 1, 1, 0, 1, 0]
70. Average Fitness: 0.738699, Chromosome: [0, 1, 1, 1, 1, 0, 0]
71. Average Fitness: 0.738108, Chromosome: [0, 1, 1, 0, 0, 1, 0]
72. Average Fitness: 0.737381, Chromosome: [0, 1, 1, 0, 1, 0, 0]
73. Average Fitness: 0.735284, Chromosome: [0, 1, 1, 0, 0, 0, 1]
74. Average Fitness: 0.734060, Chromosome: [0, 1, 1, 1, 0, 0, 1]
75. Average Fitness: 0.733257, Chromosome: [0, 1, 0, 1, 0, 1, 0]
76. Average Fitness: 0.733082, Chromosome: [0, 1, 1, 1, 1, 1, 0]
77. Average Fitness: 0.732213, Chromosome: [0, 1, 0, 1, 1, 0, 0]
78. Average Fitness: 0.731124, Chromosome: [0, 1, 1, 0, 1, 1, 0]
79. Average Fitness: 0.729928, Chromosome: [0, 1, 0, 0, 0, 1, 0]
80. Average Fitness: 0.729221, Chromosome: [0, 1, 1, 1, 0, 1, 1]
81. Average Fitness: 0.728859, Chromosome: [0, 1, 0, 0, 1, 0, 0]
82. Average Fitness: 0.727994, Chromosome: [0, 1, 0, 1, 0, 0, 1]
83. Average Fitness: 0.727139, Chromosome: [0, 1, 1, 0, 0, 1, 1]
84. Average Fitness: 0.726908, Chromosome: [0, 1, 0, 1, 1, 1, 0]
85. Average Fitness: 0.726661, Chromosome: [0, 1, 0, 0, 0, 0, 1]
86. Average Fitness: 0.725535, Chromosome: [0, 1, 1, 1, 1, 0, 1]
87. Average Fitness: 0.724746, Chromosome: [0, 1, 1, 1, 1, 1, 1]
88. Average Fitness: 0.723582, Chromosome: [0, 1, 0, 1, 0, 1, 1]
89. Average Fitness: 0.723292, Chromosome: [0, 1, 1, 0, 1, 0, 1]
90. Average Fitness: 0.723009, Chromosome: [0, 1, 0, 0, 1, 1, 0]
91. Average Fitness: 0.722265, Chromosome: [0, 1, 1, 0, 1, 1, 1]
